Culture,OCM,Frequency,Proportion_of_Passages
Aranda,301,1,0.015873015873015872
Aranda,726,1,0.015873015873015872
Aranda,552,1,0.015873015873015872
Aranda,824,1,0.015873015873015872
Aranda,682,1,0.015873015873015872
Aranda,765,1,0.015873015873015872
Aranda,887,1,0.015873015873015872
Aranda,606,1,0.015873015873015872
Aranda,884,1,0.015873015873015872
Aranda,539,1,0.015873015873015872
Aranda,847,1,0.015873015873015872
Aranda,845,1,0.015873015873015872
Aranda,842,1,0.015873015873015872
Aranda,774,1,0.015873015873015872
Aranda,484,1,0.015873015873015872
Aranda,304,1,0.015873015873015872
Aymara,757,17,0.17525773195876287
Aymara,776,16,0.16494845360824742
Aymara,755,13,0.13402061855670103
Aymara,278,13,0.13402061855670103
Aymara,774,11,0.1134020618556701
Aymara,782,10,0.10309278350515463
Aymara,291,5,0.05154639175257732
Aymara,852,5,0.05154639175257732
Aymara,164,4,0.041237113402061855
Aymara,777,4,0.041237113402061855
Aymara,764,4,0.041237113402061855
Aymara,825,4,0.041237113402061855
Aymara,826,4,0.041237113402061855
Aymara,827,4,0.041237113402061855
Aymara,159,3,0.030927835051546393
Aymara,832,3,0.030927835051546393
Aymara,855,3,0.030927835051546393
Aymara,823,3,0.030927835051546393
Aymara,821,3,0.030927835051546393
Aymara,791,2,0.020618556701030927
Aymara,276,2,0.020618556701030927
Aymara,266,2,0.020618556701030927
Aymara,759,2,0.020618556701030927
Aymara,789,2,0.020618556701030927
Aymara,177,2,0.020618556701030927
Aymara,775,2,0.020618556701030927
Aymara,761,2,0.020618556701030927
Aymara,844,2,0.020618556701030927
Aymara,843,2,0.020618556701030927
Aymara,781,1,0.010309278350515464
Aymara,824,1,0.010309278350515464
Aymara,787,1,0.010309278350515464
Aymara,788,1,0.010309278350515464
Aymara,171,1,0.010309278350515464
Aymara,182,1,0.010309278350515464
Aymara,621,1,0.010309278350515464
Aymara,514,1,0.010309278350515464
Aymara,515,1,0.010309278350515464
Aymara,552,1,0.010309278350515464
Aymara,771,1,0.010309278350515464
Aymara,386,1,0.010309278350515464
Aymara,853,1,0.010309278350515464
Aymara,513,1,0.010309278350515464
Aymara,854,1,0.010309278350515464
Aymara,743,1,0.010309278350515464
Aymara,184,1,0.010309278350515464
Aymara,858,1,0.010309278350515464
Aymara,411,1,0.010309278350515464
Aymara,147,1,0.010309278350515464
Aymara,732,1,0.010309278350515464
Aymara,136,1,0.010309278350515464
Aymara,484,1,0.010309278350515464
Aymara,231,1,0.010309278350515464
Aymara,828,1,0.010309278350515464
Aymara,263,1,0.010309278350515464
Aymara,726,1,0.010309278350515464
Aymara,292,1,0.010309278350515464
Aymara,132,1,0.010309278350515464
Aymara,192,1,0.010309278350515464
Aymara,261,1,0.010309278350515464
Aymara,293,1,0.010309278350515464
Aymara,795,1,0.010309278350515464
Aymara,178,1,0.010309278350515464
Aymara,273,1,0.010309278350515464
Aymara,157,1,0.010309278350515464
Azande,757,42,0.3652173913043478
Azande,164,29,0.25217391304347825
Azande,278,13,0.11304347826086956
Azande,824,10,0.08695652173913043
Azande,827,8,0.06956521739130435
Azande,789,5,0.043478260869565216
Azande,787,5,0.043478260869565216
Azande,177,4,0.034782608695652174
Azande,608,3,0.02608695652173913
Azande,826,3,0.02608695652173913
Azande,825,3,0.02608695652173913
Azande,846,3,0.02608695652173913
Azande,192,2,0.017391304347826087
Azande,609,2,0.017391304347826087
Azande,776,2,0.017391304347826087
Azande,208,2,0.017391304347826087
Azande,755,2,0.017391304347826087
Azande,539,2,0.017391304347826087
Azande,833,2,0.017391304347826087
Azande,154,2,0.017391304347826087
Azande,174,2,0.017391304347826087
Azande,128,1,0.008695652173913044
Azande,844,1,0.008695652173913044
Azande,852,1,0.008695652173913044
Azande,361,1,0.008695652173913044
Azande,829,1,0.008695652173913044
Azande,173,1,0.008695652173913044
Azande,121,1,0.008695652173913044
Azande,614,1,0.008695652173913044
Azande,828,1,0.008695652173913044
Azande,732,1,0.008695652173913044
Azande,782,1,0.008695652173913044
Azande,837,1,0.008695652173913044
Azande,606,1,0.008695652173913044
Azande,821,1,0.008695652173913044
Azande,684,1,0.008695652173913044
Bahia Brazilians,759,3,0.13043478260869565
Bahia Brazilians,178,3,0.13043478260869565
Bahia Brazilians,177,2,0.08695652173913043
Bahia Brazilians,165,2,0.08695652173913043
Bahia Brazilians,853,2,0.08695652173913043
Bahia Brazilians,581,2,0.08695652173913043
Bahia Brazilians,164,1,0.043478260869565216
Bahia Brazilians,782,1,0.043478260869565216
Bahia Brazilians,821,1,0.043478260869565216
Bahia Brazilians,826,1,0.043478260869565216
Bahia Brazilians,539,1,0.043478260869565216
Bahia Brazilians,776,1,0.043478260869565216
Bahia Brazilians,778,1,0.043478260869565216
Bahia Brazilians,845,1,0.043478260869565216
Bahia Brazilians,823,1,0.043478260869565216
Bahia Brazilians,744,1,0.043478260869565216
Bahia Brazilians,755,1,0.043478260869565216
Bahia Brazilians,789,1,0.043478260869565216
Bahia Brazilians,825,1,0.043478260869565216
Bahia Brazilians,249,1,0.043478260869565216
Bahia Brazilians,784,1,0.043478260869565216
Bahia Brazilians,185,1,0.043478260869565216
Bahia Brazilians,565,1,0.043478260869565216
Bahia Brazilians,171,1,0.043478260869565216
Bahia Brazilians,590,1,0.043478260869565216
Bahia Brazilians,594,1,0.043478260869565216
Bahia Brazilians,838,1,0.043478260869565216
Bahia Brazilians,793,1,0.043478260869565216
Bahia Brazilians,589,1,0.043478260869565216
Bahia Brazilians,831,1,0.043478260869565216
Bahia Brazilians,548,1,0.043478260869565216
Bahia Brazilians,626,1,0.043478260869565216
Bahia Brazilians,757,1,0.043478260869565216
Bahia Brazilians,562,1,0.043478260869565216
Bahia Brazilians,764,1,0.043478260869565216
Bahia Brazilians,731,1,0.043478260869565216
Bahia Brazilians,743,1,0.043478260869565216
Bemba,827,7,0.4117647058823529
Bemba,562,4,0.23529411764705882
Bemba,761,4,0.23529411764705882
Bemba,593,3,0.17647058823529413
Bemba,586,3,0.17647058823529413
Bemba,782,3,0.17647058823529413
Bemba,684,3,0.17647058823529413
Bemba,592,3,0.17647058823529413
Bemba,369,3,0.17647058823529413
Bemba,362,3,0.17647058823529413
Bemba,178,3,0.17647058823529413
Bemba,769,2,0.11764705882352941
Bemba,372,2,0.11764705882352941
Bemba,626,2,0.11764705882352941
Bemba,789,2,0.11764705882352941
Bemba,602,1,0.058823529411764705
Bemba,622,1,0.058823529411764705
Bemba,831,1,0.058823529411764705
Bemba,150,1,0.058823529411764705
Bemba,182,1,0.058823529411764705
Bemba,191,1,0.058823529411764705
Bemba,791,1,0.058823529411764705
Bemba,853,1,0.058823529411764705
Bemba,727,1,0.058823529411764705
Bemba,173,1,0.058823529411764705
Bemba,797,1,0.058823529411764705
Bemba,842,1,0.058823529411764705
Bemba,776,1,0.058823529411764705
Bemba,852,1,0.058823529411764705
Bemba,783,1,0.058823529411764705
Bemba,262,1,0.058823529411764705
Blackfoot,756,15,0.18072289156626506
Blackfoot,796,13,0.1566265060240964
Blackfoot,177,11,0.13253012048192772
Blackfoot,824,11,0.13253012048192772
Blackfoot,302,10,0.12048192771084337
Blackfoot,778,10,0.12048192771084337
Blackfoot,278,9,0.10843373493975904
Blackfoot,757,9,0.10843373493975904
Blackfoot,782,9,0.10843373493975904
Blackfoot,237,8,0.0963855421686747
Blackfoot,784,8,0.0963855421686747
Blackfoot,159,8,0.0963855421686747
Blackfoot,755,8,0.0963855421686747
Blackfoot,657,7,0.08433734939759036
Blackfoot,787,6,0.07228915662650602
Blackfoot,484,5,0.060240963855421686
Blackfoot,164,5,0.060240963855421686
Blackfoot,531,5,0.060240963855421686
Blackfoot,281,4,0.04819277108433735
Blackfoot,825,4,0.04819277108433735
Blackfoot,291,4,0.04819277108433735
Blackfoot,776,4,0.04819277108433735
Blackfoot,431,4,0.04819277108433735
Blackfoot,785,4,0.04819277108433735
Blackfoot,123,4,0.04819277108433735
Blackfoot,171,4,0.04819277108433735
Blackfoot,262,4,0.04819277108433735
Blackfoot,294,4,0.04819277108433735
Blackfoot,761,4,0.04819277108433735
Blackfoot,721,4,0.04819277108433735
Blackfoot,128,4,0.04819277108433735
Blackfoot,224,4,0.04819277108433735
Blackfoot,759,4,0.04819277108433735
Blackfoot,292,4,0.04819277108433735
Blackfoot,777,4,0.04819277108433735
Blackfoot,165,4,0.04819277108433735
Blackfoot,533,3,0.03614457831325301
Blackfoot,828,3,0.03614457831325301
Blackfoot,412,3,0.03614457831325301
Blackfoot,775,3,0.03614457831325301
Blackfoot,413,3,0.03614457831325301
Blackfoot,415,3,0.03614457831325301
Blackfoot,535,3,0.03614457831325301
Blackfoot,462,3,0.03614457831325301
Blackfoot,844,3,0.03614457831325301
Blackfoot,342,3,0.03614457831325301
Blackfoot,534,3,0.03614457831325301
Blackfoot,554,3,0.03614457831325301
Blackfoot,514,3,0.03614457831325301
Blackfoot,276,3,0.03614457831325301
Blackfoot,832,3,0.03614457831325301
Blackfoot,841,3,0.03614457831325301
Blackfoot,827,2,0.024096385542168676
Blackfoot,303,2,0.024096385542168676
Blackfoot,121,2,0.024096385542168676
Blackfoot,252,2,0.024096385542168676
Blackfoot,137,2,0.024096385542168676
Blackfoot,773,2,0.024096385542168676
Blackfoot,301,2,0.024096385542168676
Blackfoot,283,2,0.024096385542168676
Blackfoot,493,2,0.024096385542168676
Blackfoot,797,2,0.024096385542168676
Blackfoot,424,2,0.024096385542168676
Blackfoot,115,2,0.024096385542168676
Blackfoot,386,2,0.024096385542168676
Blackfoot,793,2,0.024096385542168676
Blackfoot,411,2,0.024096385542168676
Blackfoot,771,2,0.024096385542168676
Blackfoot,435,2,0.024096385542168676
Blackfoot,432,2,0.024096385542168676
Blackfoot,532,2,0.024096385542168676
Blackfoot,231,2,0.024096385542168676
Blackfoot,152,2,0.024096385542168676
Blackfoot,492,2,0.024096385542168676
Blackfoot,223,2,0.024096385542168676
Blackfoot,232,2,0.024096385542168676
Blackfoot,555,2,0.024096385542168676
Blackfoot,794,2,0.024096385542168676
Blackfoot,515,2,0.024096385542168676
Blackfoot,261,2,0.024096385542168676
Blackfoot,113,2,0.024096385542168676
Blackfoot,563,2,0.024096385542168676
Blackfoot,789,2,0.024096385542168676
Blackfoot,132,2,0.024096385542168676
Blackfoot,826,1,0.012048192771084338
Blackfoot,481,1,0.012048192771084338
Blackfoot,346,1,0.012048192771084338
Blackfoot,847,1,0.012048192771084338
Blackfoot,273,1,0.012048192771084338
Blackfoot,178,1,0.012048192771084338
Blackfoot,875,1,0.012048192771084338
Blackfoot,439,1,0.012048192771084338
Blackfoot,147,1,0.012048192771084338
Blackfoot,127,1,0.012048192771084338
Blackfoot,843,1,0.012048192771084338
Blackfoot,821,1,0.012048192771084338
Blackfoot,732,1,0.012048192771084338
Blackfoot,769,1,0.012048192771084338
Blackfoot,867,1,0.012048192771084338
Blackfoot,263,1,0.012048192771084338
Blackfoot,861,1,0.012048192771084338
Blackfoot,272,1,0.012048192771084338
Blackfoot,304,1,0.012048192771084338
Blackfoot,726,1,0.012048192771084338
Blackfoot,714,1,0.012048192771084338
Blackfoot,264,1,0.012048192771084338
Blackfoot,142,1,0.012048192771084338
Blackfoot,576,1,0.012048192771084338
Blackfoot,574,1,0.012048192771084338
Blackfoot,372,1,0.012048192771084338
Blackfoot,354,1,0.012048192771084338
Blackfoot,648,1,0.012048192771084338
Blackfoot,314,1,0.012048192771084338
Blackfoot,539,1,0.012048192771084338
Blackfoot,854,1,0.012048192771084338
Blackfoot,853,1,0.012048192771084338
Blackfoot,735,1,0.012048192771084338
Blackfoot,160,1,0.012048192771084338
Blackfoot,425,1,0.012048192771084338
Blackfoot,361,1,0.012048192771084338
Blackfoot,173,1,0.012048192771084338
Blackfoot,593,1,0.012048192771084338
Blackfoot,764,1,0.012048192771084338
Blackfoot,621,1,0.012048192771084338
Blackfoot,614,1,0.012048192771084338
Blackfoot,233,1,0.012048192771084338
Blackfoot,124,1,0.012048192771084338
Blackfoot,597,1,0.012048192771084338
Blackfoot,174,1,0.012048192771084338
Blackfoot,150,1,0.012048192771084338
Blackfoot,609,1,0.012048192771084338
Blackfoot,436,1,0.012048192771084338
Blackfoot,562,1,0.012048192771084338
Blackfoot,156,1,0.012048192771084338
Blackfoot,186,1,0.012048192771084338
Blackfoot,211,1,0.012048192771084338
Blackfoot,222,1,0.012048192771084338
Blackfoot,538,1,0.012048192771084338
Blackfoot,846,1,0.012048192771084338
Blackfoot,575,1,0.012048192771084338
Blackfoot,422,1,0.012048192771084338
Blackfoot,868,1,0.012048192771084338
Blackfoot,857,1,0.012048192771084338
Blackfoot,804,1,0.012048192771084338
Blackfoot,802,1,0.012048192771084338
Blackfoot,758,1,0.012048192771084338
Blackfoot,524,1,0.012048192771084338
Blackfoot,271,1,0.012048192771084338
Blackfoot,522,1,0.012048192771084338
Blackfoot,513,1,0.012048192771084338
Blackfoot,401,1,0.012048192771084338
Blackfoot,381,1,0.012048192771084338
Blackfoot,352,1,0.012048192771084338
Blackfoot,343,1,0.012048192771084338
Blackfoot,335,1,0.012048192771084338
Blackfoot,284,1,0.012048192771084338
Blackfoot,136,1,0.012048192771084338
Bororo,824,23,0.48936170212765956
Bororo,302,6,0.1276595744680851
Bororo,756,5,0.10638297872340426
Bororo,776,4,0.0851063829787234
Bororo,784,4,0.0851063829787234
Bororo,301,4,0.0851063829787234
Bororo,562,4,0.0851063829787234
Bororo,757,4,0.0851063829787234
Bororo,785,3,0.06382978723404255
Bororo,761,3,0.06382978723404255
Bororo,515,3,0.06382978723404255
Bororo,789,3,0.06382978723404255
Bororo,755,3,0.06382978723404255
Bororo,181,2,0.0425531914893617
Bororo,775,2,0.0425531914893617
Bororo,226,2,0.0425531914893617
Bororo,304,2,0.0425531914893617
Bororo,164,2,0.0425531914893617
Bororo,764,2,0.0425531914893617
Bororo,773,2,0.0425531914893617
Bororo,114,2,0.0425531914893617
Bororo,765,2,0.0425531914893617
Bororo,614,2,0.0425531914893617
Bororo,262,2,0.0425531914893617
Bororo,821,2,0.0425531914893617
Bororo,758,1,0.02127659574468085
Bororo,261,1,0.02127659574468085
Bororo,123,1,0.02127659574468085
